
,Row.names,ACCNUM,SYMBOL,DESC,OD_005_U133_2.CEL,OD_006_U133_2.CEL,OD_009_U133_2.CEL,OD_010_U133_2.CEL,OD_012_U133_2.CEL,OD_015_U133_2_2.CEL,OD_017_U133_2.CEL,OD_026_U133_2.CEL,OD_027_U133_2.CEL,OD_029_U133_2.CEL,OD_032_U133_2.CEL,OD_033_U133_2.CEL,OD_034_U133_2.CEL,OD_035_U133_2.CEL,OD_038_U133_2.CEL,OD_039_U133_2.CEL,OD_041_U133_2.CEL,OD_042_U133_2.CEL,OD_043_U133_2.CEL,OD_046_U133_2.CEL,OD_049_U133_2.CEL,OD_050_U133_2.CEL,OD_051_U133_2.CEL,OD_052_U133_2.CEL,OD_054_U133_2.CEL,OD_055_U133_2.CEL,OD_057_U133_2.CEL,OD_058_U133_2.CEL,OD_060_U133_2.CEL,OD_064_U133_2.CEL,OD_067_U133_2.CEL,OD_075_U133_2.CEL,OD_076_U133_2.CEL,OD_078_U133_2.CEL,OD_080_U133_2.CEL,OD_081_U133_2.CEL,OD_082_U133_2.CEL,OD_084_U133_2.CEL,OD_085_U133_2.CEL,OD_087_U133_2.CEL,OD_090_U133_2.CEL,OD_091_U133_2.CEL,OD_092_U133_2.CEL,OD_093_U133_2.CEL,OD_094_U133_2.CEL,OD_096_U133_2.CEL,OD_100_U133_2.CEL,OD_102_U133_2.CEL,OD_104_U133_2.CEL,OD_105_U133_2.CEL,OD_106_U133_2.CEL,OD_109_U133_2.CEL,OD_110_U133_2.CEL,OD_111_U133_2.CEL,OD_112_U133_2.CEL,OD_113_U133_2.CEL,OD_114_U133_2.CEL,OD_116_U133_2.CEL,OD_117_U133_2.CEL,OD_118_U133_2.CEL,OD_120_U133_2.CEL,OD_123_U133_2.CEL,OD_130_U133_2.CEL,OD_131_U133_2.CEL,OD_132_U133_2.CEL,OD_133_U133_2.CEL,OD_134_U133_2.CEL,OD_136_U133_2.CEL,OD_138_U133_2.CEL,OD_139_U133_2.CEL,OD_141_U133_2.CEL,OD_142_U133_2.CEL,OD_143_U133_2.CEL,OD_144_U133_2.CEL,OD_148_U133_2.CEL,OD_149_U133_2.CEL,OD_151_U133_2.CEL,OD_152_U133_2.CEL,OD_153_U133_2.CEL,OD_155_U133_2.CEL,OD_156_U133_2.CEL,OD_157_U133_2.CEL,OD_158_U133_2.CEL,OD_159_U133_2.CEL,OD_160_U133_2.CEL,OD_307_U133_2.CEL,OD_308_U133_2.CEL,OD_311_U133_2.CEL,OD_316_U133_2.CEL,OD_317_U133_2.CEL,OD_321_U133_2.CEL,OD_323_U133_2.CEL,OD_324_U133_2.CEL,OD_326_U133_2.CEL,OD_329_U133_2.CEL,OD_342_U133_2.CEL,OD_353_U133_2.CEL,OD_357_U133_2.CEL,OD_358_U133_2.CEL,OD_362_U133_2.CEL,OD_363_U133_2.CEL
,,,,,Pax3,Neg,Neg,Pax3,Neg,Pax3,Pax3,Pax3,Neg,Ncoa1,Pax3,Pax3,Pax3,Pax3,Neg,Neg,Neg,Pax3,Neg,Neg,Pax3,Neg,Pax3,Pax7,Neg,Neg,Pax3,Pax3,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Pax3,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Pax3,Pax3,Pax7,Pax3,Neg,Pax3,Neg,Pax7,Pax7,Neg,Neg,Neg,Neg,Pax3,Pax3,Neg,Pax3,Pax3,Pax3,Neg,Pax3,Pax7,Pax3,Neg,Pax3,Neg,Neg,Neg,Pax7,Neg,Pax7,Neg,Neg,Pax3,Neg,Neg,Pax3,Pax3,Neg,Neg,Neg,Pax7,Pax3,Neg,Pax7,Pax3,Neg,Neg,Pax3,Pax7,Neg,Pax3,Neg
1,1007_s_at,U48705,DDR1,discoidin domain receptor tyrosine kinase 1,8.023212869,7.773033008,9.23853842,8.466191825,8.819621806,9.514274204,8.381554345,8.569606812,8.250547708,8.069319103,8.729007529,8.338211517,7.890513475,8.362533505,8.891363746,8.273171501,7.969586235,8.372767497,7.428817792,7.02868128,8.877615538,8.875424801,8.028725181,9.256801298,7.721283392,8.060411947,8.967038726,8.666815417,7.590938506,7.493123757,9.20888057,8.423164032,8.023710899,8.420989985,7.968347881,8.309799385,7.702706708,8.395224063,8.793045484,7.066216437,8.258783736,8.861705454,8.488902991,7.870904609,6.260737616,7.481860056,7.795461549,8.701233273,8.938775584,9.127988588,8.504726708,8.85977167,7.196232694,9.383137312,8.326888656,9.097413569,8.530049689,6.746785081,9.193503434,8.092239772,7.06444776,9.075336231,8.864746587,8.371886876,8.781857655,9.330952522,9.282522491,6.93415043,9.334376546,8.829269538,8.74706447,7.678979626,8.798574483,8.24140106,8.281769875,8.265213528,8.9692261,7.842771316,9.32329063,7.978904711,8.459918649,9.086065085,8.192880369,8.430415906,8.639032383,8.888512189,7.354544372,8.678760941,8.348856605,8.724490435,9.087551876,7.924577648,8.808871636,8.777121218,7.869745388,9.000706903,8.192259631,8.472369775,7.849184057,7.876530332,8.397096305
2,1053_at,M87338,RFC2,replication factor C (activator 1) 2 40kDa,6.678045242,6.259508149,6.376515482,6.090549217,6.048315474,6.477627104,6.760729287,5.743071763,5.354994067,6.473938588,5.924507716,6.022952384,6.492728434,6.16390296,5.65250038,6.420631932,6.209461789,5.360452612,5.447923754,6.736734186,6.552015906,6.611791264,5.814016874,6.191481702,7.448568417,5.974838791,6.213136746,6.648404085,6.941742008,5.678690822,5.563199638,6.18609951,3.98712535,5.189130603,6.387849566,6.16028015,4.876852518,6.960407655,5.651156563,5.90173904,5.808251809,5.898546525,6.353365822,6.578958569,7.141913403,5.632163568,5.950977342,5.85445837,5.902517596,5.410597072,6.818179845,6.945195283,6.520903729,5.65562882,5.730886986,5.356457823,5.666734161,6.078311621,6.216911531,7.125741767,7.060970517,5.580774112,4.970831566,6.419171797,6.344784918,6.52107163,6.101638611,6.104550075,5.926126605,6.242185437,6.606128613,6.204110499,6.341300862,6.85679683,6.122204665,6.330055771,6.310618901,6.720512408,5.6068893,7.286156523,6.387122377,7.152472433,6.649626744,6.546051355,5.650054388,5.023787318,6.110743568,6.223266633,5.77636675,5.978470089,5.030203453,6.079671539,6.157233505,4.758553344,6.727627481,5.24055054,5.841179298,5.60802439,6.190773675,5.463739612,5.876330253
3,117_at,X51757,HSPA6,heat shock 70kDa protein 6 (HSP70B'),6.957992927,5.226224614,5.162512224,4.72538748,4.605354391,4.509158745,4.374450586,4.184393954,4.614986821,5.152588658,4.279321111,4.278194497,4.083754329,4.584031767,4.395927503,4.543936228,5.16466416,4.761904937,4.737395535,4.631987756,4.623215565,4.826465554,5.024574703,4.832608568,5.167191304,4.618994653,4.924342915,4.536054981,4.386060295,4.824772094,6.611507753,4.928874986,4.391472707,4.456861471,5.145955046,5.537575615,4.723393102,4.741530776,4.43963551,4.279209694,5.760468137,4.308622437,4.432798185,4.642689244,4.309917907,4.238555016,4.183031528,4.386400929,4.443397467,4.498087137,5.14978269,4.833314313,4.728748684,5.541901714,4.56359417,4.197629684,5.251987006,4.903566715,4.636508842,5.217206425,4.70443029,5.042361826,4.67227668,4.034087182,4.280092657,4.642015279,4.56786505,7.927492328,4.676760621,4.375240224,4.396835622,4.487331216,4.116717024,4.18444935,4.881829406,4.756912025,3.982010541,4.41311823,4.572260581,4.237188853,6.230618833,4.733612407,6.901692034,4.254505185,5.374033768,4.506265158,4.167375294,5.006844191,4.688057573,4.366660251,4.998015083,4.53013105,5.23020901,4.324775941,4.008344418,4.174471082,6.663027577,4.618515306,4.467335851,4.305894877,4.940658525
4,121_at,X69699,PAX8,paired box 8,5.959249864,5.896910624,6.041054441,6.469539959,6.403457961,6.043587689,5.965511226,6.535638673,5.920133825,5.914575603,6.862561784,5.902382494,6.07803208,6.063705143,5.72867745,6.114505975,6.018430264,6.237853341,6.182623165,6.06457927,6.352569325,6.43262804,6.174916255,6.342629658,6.454706359,6.941137417,6.355395585,6.042092408,6.611654399,6.401614329,6.279548366,6.201122537,6.568644057,6.826767157,6.288071189,6.481310971,6.13340199,6.421728687,6.545445667,6.089587385,5.832547617,6.373566469,6.014099804,6.576424824,6.233874836,6.447145432,5.525455238,5.955736063,5.755377166,6.386120885,6.753561027,6.226425376,5.951001267,6.206542982,5.868662696,6.108429721,6.648594189,6.26568392,6.173231056,5.592344135,5.619493827,6.24760569,6.335109815,6.406212841,6.395837355,6.453760484,6.24584653,5.919175745,6.103684415,6.413645115,6.511628273,6.63159361,6.025857979,6.450312127,6.208360077,6.065338579,6.301787157,6.357397265,5.821048633,6.824245419,5.92056574,6.204711654,6.084678016,5.785233252,6.126261088,6.308184341,5.688036621,5.97822863,6.889071508,6.193241815,6.262084105,6.282762232,6.572833743,8.049100602,6.343705794,6.062805633,6.538339746,6.104524783,6.281932673,5.938873534,6.045877343
5,1255_g_at,L36861,GUCA1A,guanylate cyclase activator 1A (retina),2.355871638,2.279792204,2.134429912,2.372909912,2.20949679,1.987050309,2.126016424,2.161932073,2.10098979,2.108535443,2.142507765,1.99652469,2.122226,2.065123437,2.086417048,2.158694719,2.185431268,2.084512458,2.371821921,2.048308158,1.937221437,2.097842368,2.171613156,2.179865411,2.204092744,2.336908517,2.264356881,2.070943653,2.292076676,1.969368262,2.133026885,2.323214384,2.097769058,2.304766789,2.212178215,2.221458227,2.160923499,2.161554123,2.185635695,2.366930451,2.862073108,2.042099645,2.251009337,2.157046215,1.821159532,2.191426664,2.238437274,1.905057118,2.148365056,2.10670597,2.330741341,2.222084581,2.049097632,2.399379537,2.164538266,2.000136402,2.564073828,2.906866233,2.06763236,2.187166786,2.120174707,1.923886947,2.417674235,2.193900403,2.054912581,2.283477629,2.435396804,2.380692395,2.293536553,2.180511377,2.378703369,2.525165169,2.286899415,2.024961641,2.096994611,2.136647536,2.30011145,2.101090676,2.157066584,2.176073133,2.001370808,2.091813923,1.989151931,1.934192072,2.57197704,2.129285082,2.239080074,2.121523516,2.102352967,2.165453155,2.193506115,2.185313258,2.920912165,2.122461219,2.068890301,1.980561492,2.164423653,2.073135505,2.129137115,1.99971441,2.038773836
6,1294_at,L13852,UBA7,ubiquitin-like modifier activating enzyme 7,5.2229251,6.234627578,4.992159327,5.998033655,5.656036371,5.349712738,5.340596638,5.186931373,5.543785987,5.149735215,5.386465334,5.840907603,6.639990011,5.509281101,6.887489529,6.801447206,6.666367662,5.229966912,5.866933766,5.535242997,5.420596707,5.244703254,5.649128474,5.294833788,6.038534146,4.827914436,5.446566526,5.973159706,5.671192568,5.621187181,6.76990917,5.144002028,5.656119912,5.755875617,5.277494725,6.367764293,5.733092932,5.623060125,5.921694734,7.666292201,4.506169532,6.065121073,5.90940202,5.914012566,5.418152618,5.610906069,5.554616743,5.095100599,5.287436836,5.513769651,5.113564328,4.82041856,5.593028615,6.14764779,5.494008815,5.61220861,5.280871794,6.918862357,5.166244446,5.375096031,5.757495502,6.12063834,5.999347711,5.710025715,5.497852551,5.656055125,6.151010611,6.297319186,5.856621386,5.697704395,5.127175544,5.376862804,5.665202983,5.452899545,6.034820792,5.262118198,5.157319548,5.71287943,6.51960954,6.188287624,6.229908803,4.829927548,5.460529801,5.557564008,6.740879168,5.390317746,6.153601275,5.938909288,6.106695293,5.474149879,5.554973173,5.34963291,5.256024049,5.78886914,5.277339018,6.098895775,5.696138915,5.973027025,5.565417262,5.24315696,6.030095429
7,1316_at,X55005,THRA,thyroid hormone receptor alpha,3.219660946,3.355370539,3.501493631,3.560806317,3.355720789,3.374248069,3.363951465,3.580799892,3.497509059,3.39519295,3.571692501,3.502637036,3.369248225,3.501861664,3.356384236,3.422731764,3.38782201,3.891751525,3.471699874,3.421097989,3.474554445,3.531414747,3.680304609,3.764253982,3.419751298,3.453645633,3.661876927,3.389968741,3.605470881,3.750114875,3.593963258,3.80335766,3.841194373,3.668518228,3.65893357,3.823739467,3.886022077,4.027629893,3.536202777,3.744748289,3.835677649,3.68136486,3.429365948,3.577844054,3.270266914,3.605553967,3.631353578,3.563777636,3.379529673,3.596864832,3.977691042,3.593933401,3.729168051,3.730181321,3.723946551,3.707037443,3.683292868,3.686431334,3.430507967,3.795093152,3.599048392,3.662559783,3.668888691,3.486977245,3.693513451,3.835229514,3.661318012,3.541413806,3.755979345,3.550628122,3.698206189,3.827371883,3.636523761,3.585947,3.609747322,3.649364998,3.878468808,3.697258954,3.575634479,3.429004502,3.422094048,3.526897603,3.397731756,3.448658732,3.50341982,3.517720102,3.612057526,3.614976533,3.548341594,3.779796174,3.656067517,3.503045975,3.367516819,3.436595986,3.652409305,3.617804865,3.603261649,3.410020079,3.635653699,3.490584243,3.449436147
8,1320_at,X79510,PTPN21,protein tyrosine phosphatase non-receptor type 21,4.239719859,4.729670068,3.866808615,4.180827106,4.276116747,4.300843221,4.544237724,3.934260826,3.739350205,4.376635158,3.751346313,3.794979345,3.707404457,4.710921086,3.524058911,3.598995172,4.23950908,3.796851298,3.956486741,4.256774816,3.994561249,3.610924995,3.702844342,4.037494168,5.238206403,4.694551749,4.232868794,4.162869757,4.377158433,6.03553315,3.998066776,4.140801361,4.231566798,4.421659762,4.287150907,3.947157558,3.955701073,4.478285359,4.007585546,3.449976647,4.105089397,3.996103814,3.670887289,4.412569137,3.993420702,3.88607543,3.592526055,4.565005791,3.667519347,3.750334493,4.005958072,4.410749956,3.719117984,3.944397447,3.750128113,4.825179999,4.206482083,3.736395173,4.506790688,4.142514692,4.079570426,3.671900636,4.095145042,3.979189263,4.176497094,3.949202664,4.293525694,5.167126109,3.623060032,3.853574532,4.541893167,3.600287719,4.083614418,4.042116383,3.688645919,3.831941692,4.067889066,4.011348142,4.272896723,4.233596238,4.117672653,4.492416555,4.180897772,4.093284608,3.633264864,4.639775843,3.540547668,3.64518644,3.895261024,4.227087265,3.667629186,3.632091893,4.112369433,4.10802233,3.960503976,4.657552491,3.56917555,3.42292323,3.317225084,4.103966435,3.952050765
9,1405_i_at,M21121,CCL5,chemokine (C-C motif) ligand 5,4.499715903,5.477505983,2.637793128,3.538575494,2.673858858,2.391027636,4.395747835,3.485485848,3.378422047,3.935725938,4.731022274,5.714477539,5.889523713,3.825835473,8.461934759,4.966587249,3.095530671,4.187331944,4.077365634,2.992050967,3.097022851,6.520854753,2.847973107,2.98969529,8.416950061,2.339206969,3.613557379,3.848493532,3.815706741,4.302624129,6.439334429,3.874036869,4.25395255,3.879633707,3.303887504,4.524887741,3.749948314,3.938459696,5.081967117,5.557825351,3.729201987,3.472773123,6.352174044,4.195898381,2.656503639,2.278654094,5.224823012,3.529259183,5.707895596,3.759034043,7.743386231,3.618305198,2.547118025,6.173125514,3.004436011,4.929452304,3.145844646,6.313768291,3.564802931,2.686436011,4.754923929,4.23580131,3.71984985,2.58092105,2.379869068,3.743273391,4.023343516,6.880030199,6.543201067,5.000771103,2.874419692,2.66097254,3.68402704,2.906160231,5.992701738,4.741647327,2.438705155,2.734675049,7.903888124,3.101934172,5.002923834,3.093708895,5.213059704,3.867789181,9.087546358,4.104756322,3.897485909,4.082358719,5.604619105,4.201317173,3.256477114,2.768049962,2.436214896,3.917406213,2.803529898,6.105713632,7.739881502,6.871606287,4.395206373,2.706702084,5.172965964
